#;PSRJ;RAJD;DECJD;P0;P1;DM;
#;;(deg);(deg);(s);;(cm^-3pc);
73,J0139+5814,24.832250,58.242172,0.272451,73.81,5.200,28.00,4.60,
74,J0141+6009,25.416409,60.158973,1.222949,34.93,34.900,49.00,4.50,
75,J0141+63,25.250000,63.133333,0.046686,272.60,*,1.30,*,
76,J0146+31,26.562500,31.066667,0.938100,25.00,20.000,*,*,
77,J0146+6145,26.593417,61.750778,8.688994,*,*,*,*,
78,J0147+5922,26.936024,59.367581,0.196321,40.11,7.000,6.60,2.10,
79,J0151-0635,27.844588,-6.584111,1.464665,25.66,56.900,38.00,1.30,
80,J0152+0948,28.098875,9.802778,2.746647,22.88,11.000,0.91,*,
81,J0152-1637,28.045223,-16.631386,0.832742,11.93,17.800,20.00,1.50,
82,J0156+04,29.004167,4.033333,*,27.50,3.800,*,*,
83,J0156+3949,29.230192,39.824592,1.811561,59.83,*,4.00,*,
84,J0157+6212,29.458061,62.207195,2.351745,30.21,33.400,6.50,1.90,
85,J0158+21,29.620833,21.133333,0.505300,20.00,*,*,*,
86,J0201+7005,30.422267,70.088364,1.349184,21.03,*,*,*,
87,J0205+6449,31.408010,64.828148,0.065716,140.70,2.300,*,0.04,
88,J0206-4028,31.505283,-40.467869,0.630550,12.90,8.000,11.00,1.00,
89,J0211-8159,32.995833,-81.993389,1.077333,24.36,19.000,6.00,*,
90,J0212+5222,33.217500,52.379167,0.376386,38.24,*,4.10,0.90,
91,J0214+5222,33.730297,52.378042,0.024575,22.04,2.500,0.90,*,
92,J0215+6218,33.985945,62.309270,0.548880,84.00,*,14.50,3.70,
93,J0218+4232,34.526494,42.538160,0.002323,61.25,*,35.00,0.90,
94,J0220+36,35.208333,36.366667,1.029700,40.00,220.000,*,*,
95,J0229+20,37.262500,20.966667,0.806900,27.00,*,*,*,
96,J0231+7026,37.808322,70.442745,1.466820,46.68,34.000,2.40,0.30,
97,J0241+16,40.441667,16.066667,1.545400,16.00,*,*,*,
98,J0242+62,40.645833,62.947222,0.592000,4.00,*,*,*,
99,J0243+6027,40.750000,60.450000,1.473000,141.00,*,*,*,
100,J0244+14,41.212500,14.450000,2.128100,31.00,*,*,*,
101,J0248+6021,42.077571,60.359644,0.217094,370.00,26.000,*,13.70,
102,J0251+26,42.783333,26.083333,0.002540,20.00,*,*,*,
103,J0255-5304,43.984254,-53.072600,0.447708,15.90,9.000,17.00,3.00,
104,J0303+22,45.750000,22.800000,1.207000,20.00,50.000,*,*,
105,J0304+1932,46.137979,19.547611,1.387584,15.66,58.400,27.00,3.00,
106,J0308+74,47.000000,74.000000,0.003160,6.35,*,0.30,*,
107,J0323+3944,50.860908,39.748028,3.032072,26.19,42.700,34.00,0.90,
108,J0324+5239,51.231083,52.658694,0.336620,115.46,*,*,0.19,
109,J0325+67,51.500000,67.816667,1.364741,65.00,*,26.30,*,
110,J0329+1654,52.285625,16.900556,0.893320,40.82,17.000,0.60,*,
111,J0332+5434,53.247367,54.578769,0.714520,26.76,6.600,1500.00,203.00,
112,J0332+79,53.187500,79.166667,2.056210,16.67,*,*,*,
113,J0335+4555,53.819363,45.931521,0.269201,47.15,6.100,6.00,0.80,
114,J0337+1715,54.432608,17.254119,0.002733,21.32,*,*,*,
115,J0338+66,54.750000,66.733333,1.762000,67.00,*,10.50,*,
116,J0340+4130,55.097034,41.512581,0.003299,49.58,*,2.00,0.31,
117,J0341+5711,55.250000,57.183333,1.888000,100.00,*,364.70,*,
118,J0343-3000,55.866417,-30.007639,2.597027,20.20,48.000,*,0.90,
119,J0343+5312,55.803785,53.214841,1.934478,67.30,44.900,3.70,0.30,
120,J0348+0432,57.181829,4.536516,0.039123,40.46,0.630,*,*,
121,J0357+3205,59.468750,32.090278,0.444104,*,*,*,*,
122,J0357+5236,59.436731,52.616028,0.197030,103.71,12.500,12.00,1.90,
123,J0358+42,59.500000,42.100000,0.226478,46.00,*,5.50,*,
124,J0358+5413,59.723849,54.220496,0.156384,57.14,3.900,46.00,23.00,
125,J0358+66,59.500000,66.666667,0.091507,62.30,*,5.30,*,
126,J0359+5414,59.858375,54.248806,0.079427,*,*,*,*,
127,J0401-7608,60.465333,-76.137167,0.545253,21.60,18.000,19.00,14.00,
128,J0406+6138,61.625342,61.644733,0.594576,65.41,18.400,15.00,2.80,
129,J0407+1607,61.978912,16.121222,0.025702,35.65,5.300,10.20,*,
130,J0408+551,62.000000,55.000000,1.837000,55.00,*,*,*,
131,J0408+552,62.000000,55.000000,0.754000,64.00,*,*,*,
132,J0410-31,62.662500,-31.124722,1.878500,9.20,18.000,*,*,
133,J0413+58,63.250000,58.000000,0.687000,57.00,*,*,*,
134,J0415+6954,63.981889,69.902747,0.390715,27.45,4.400,6.40,0.50,
135,J0417+35,64.429167,35.750000,0.654400,48.53,*,*,*,
136,J0417+61,64.250000,61.133333,0.440283,71.00,*,1.50,*,
137,J0418-4154,64.517500,-41.903000,0.757119,24.54,*,*,*,
138,J0418+5732,64.641113,57.539697,9.078388,*,*,*,*,
139,J0419+44,64.750000,44.000000,1.241000,71.00,*,*,*,
140,J0420-5022,65.008125,-50.380028,3.453004,*,*,*,*,
141,J0421-0345,65.389817,-3.751836,2.161308,44.61,25.000,6.00,0.50,
142,J0421+32,65.375000,32.666667,0.900500,75.00,400.000,*,*,
143,J0426+4933,66.528387,49.560683,0.922475,85.00,*,*,0.19,
144,J0435+27,68.891667,27.733333,0.326279,53.18,*,2.00,*,
145,J0437-4715,69.316234,-47.252531,0.005757,2.64,0.141,550.00,149.00,
146,J0447-04,71.750000,-4.583333,2.188190,29.83,*,*,*,
147,J0448-2749,72.173198,-27.829649,0.450448,26.22,10.000,2.00,0.70,
148,J0449-7031,72.273625,-70.525472,0.479164,65.83,7.900,*,0.14,
149,J0450-1248,72.536588,-12.801972,0.438014,37.04,19.000,11.00,0.90,
150,J0451-67,72.958333,-67.300000,0.245454,45.00,5.500,*,0.05,
151,J0452-1759,73.142107,-17.989825,0.548939,39.90,28.700,82.00,5.30,
152,J0453+1559,73.439224,15.989252,0.045782,30.31,*,*,*,
153,J0454+5543,73.532294,55.728177,0.340729,14.59,8.100,59.00,13.00,
154,J0455-6951,73.948125,-69.859528,0.320423,94.89,*,0.60,*,
155,J0456-69,74.125000,-69.166667,0.117073,103.00,*,*,*,
156,J0456-7031,74.010417,-70.518500,0.800132,100.30,8.000,*,0.05,
157,J0457+23,74.275000,23.566667,0.504900,59.00,*,*,*,
158,J0457-6337,74.282458,-63.625111,2.497012,27.50,36.000,*,0.18,
159,J0457-69,74.258333,-69.766667,0.231390,91.00,*,*,*,
160,J0458-0505,74.654671,-5.084750,1.883480,47.81,26.000,*,*,
161,J0458-67,74.745833,-67.716667,1.133900,97.00,*,*,*,
162,J0459-0210,74.966422,-2.168509,1.133076,21.02,16.000,11.00,0.50,
163,J0501+4516,75.278167,45.276089,5.762097,*,*,*,*,
164,J0502+4654,75.519004,46.901692,0.638565,41.83,22.700,10.80,2.50,
165,J0502-6617,75.710542,-66.299667,0.691251,68.90,*,1.00,*,
166,J0509+08,77.350000,8.950000,0.004100,38.00,*,5.00,0.80,
167,J0510+38,77.495833,38.200000,0.076564,69.00,*,3.40,*,
168,J0511-6508,77.985417,-65.143472,0.322062,25.66,12.000,*,0.70,
169,J0514-4002A,78.527886,-40.046916,0.004991,52.15,*,0.28,*,
170,J0514-4407,78.716000,-44.118472,0.302200,15.40,*,*,*,
171,J0517+22,79.291667,22.266667,0.222344,20.00,*,7.00,*,
172,J0519+44,79.750000,44.000000,0.515000,52.00,*,*,*,
173,J0519+54,80.000000,54.416667,0.340194,43.00,*,3.80,*,
174,J0519-6932,79.945487,-69.539856,0.263212,119.40,4.100,*,0.32,
175,J0520-2553,80.150772,-25.886748,0.241642,33.77,6.000,8.00,0.20,
176,J0521-68,80.433333,-68.583333,0.433421,136.00,*,*,*,
177,J0522-6847,80.596083,-68.783944,0.674532,126.45,12.000,*,0.19,
178,J0525+1115,81.485201,11.255300,0.354438,79.42,15.900,19.50,1.60,
179,J0525-6607,81.503750,-66.076750,8.047000,*,*,*,*,
180,J0528+2200,82.217767,22.001111,3.745539,50.87,185.500,57.00,9.00,
181,J0529-6652,82.462167,-66.877278,0.975725,103.20,24.000,*,0.30,
182,J0532-6639,83.247958,-66.660361,0.642743,69.30,9.000,*,0.08,
183,J0532-69,83.016667,-69.766667,0.574598,124.00,*,*,*,
184,J0533+0402,83.357583,4.033472,0.963018,83.70,24.000,*,*,
185,J0533+67,83.250000,67.000000,0.004390,57.40,*,*,*,
186,J0534+2200,83.633221,22.014461,0.033392,56.77,3.000,550.00,14.00,
187,J0534-6703,83.650708,-67.063556,1.817565,94.70,25.000,*,0.08,
188,J0535-66,83.916667,-66.866667,0.210524,75.00,*,*,*,
189,J0535-6935,83.750000,-69.583333,0.200511,93.70,*,*,0.05,
190,J0536-7543,84.128292,-75.732417,1.245856,17.50,75.000,75.00,13.00,
191,J0537-69,84.429167,-69.350000,0.112613,273.00,*,*,*,
192,J0537-6910,84.447567,-69.172189,0.016122,*,*,*,0.00,
193,J0538+2817,84.604405,28.285878,0.143158,39.57,2.700,8.20,1.90,
194,J0540+3207,85.154650,32.127028,0.524271,61.97,12.000,*,0.34,
195,J0540-6919,85.046675,-69.331714,0.050570,146.50,18.000,0.00,0.02,
196,J0540-7125,85.128333,-71.425389,1.286015,29.41,40.000,5.00,*,
197,J0542-68,85.645833,-68.266667,0.425189,114.00,*,*,*,
198,J0543+2329,85.790250,23.484722,0.245975,77.70,6.200,29.00,9.00,
199,J0543-6851,85.969625,-68.857028,0.708954,131.00,58.000,*,0.22,
200,J0544+20,86.050000,20.833333,*,56.90,2.300,*,*,
201,J0545-03,86.250000,-3.166667,1.073930,67.20,*,*,*,
202,J0546+2441,86.619833,24.689167,2.843850,73.81,28.000,2.65,*,
203,J0550+09,87.616667,9.850000,1.745000,86.60,22.500,*,*,
204,J0554+3107,88.520875,31.128056,0.464961,*,*,*,0.00,
205,J0555+3948,88.750000,39.800000,1.146906,37.00,*,*,*,
206,J0555-7056,88.757708,-70.946000,0.827838,73.40,27.000,*,0.21,
207,J0557+1550,89.381038,15.835013,0.002556,102.57,*,*,0.05,
208,J0600-5756,90.193750,-57.948333,2.261365,30.00,60.000,2.10,*,
209,J0601-0527,90.495759,-5.464044,0.395969,80.54,11.600,22.70,2.50,
210,J0605+37,91.250000,37.000000,0.002730,21.00,*,*,*,
211,J0608+00,92.204167,0.650000,1.076200,48.00,*,*,*,
212,J0609+2130,92.495359,21.500789,0.055698,38.73,1.600,0.80,*,
213,J0610-2100,92.556648,-21.007759,0.003861,60.67,0.200,*,0.40,
214,J0610+37,92.750000,37.300000,0.443861,39.00,*,1.30,*,
215,J0611+04,92.825000,4.100000,1.674430,69.90,81.000,*,*,
216,J0611+1436,92.827704,14.614444,0.270329,45.70,11.600,*,1.10,
217,J0611+30,92.816667,30.266667,1.412090,45.26,*,1.40,*,
218,J0612+3721,93.202861,37.360377,0.297982,27.15,5.300,16.00,4.00,
219,J0613-0200,93.433232,-2.013118,0.003062,38.78,0.462,21.00,2.30,
220,J0613+3731,93.300625,37.527306,0.619198,18.99,11.000,1.60,0.13,
221,J0614+2229,93.571500,22.510000,0.334960,96.91,6.900,29.00,2.20,
222,J0614-3329,93.543116,-33.498366,0.003149,37.05,*,*,*,
223,J0614+83,93.500000,83.233333,1.039203,44.00,*,1.90,*,
224,J0621+0336,95.296754,3.612644,0.269954,72.59,3.440,*,1.00,
225,J0621+1002,95.342143,10.044093,0.028854,36.47,9.150,*,1.90,
226,J0621+25,95.250000,25.000000,0.002720,83.60,*,*,*,
227,J0622+3749,95.543792,37.820444,0.333208,*,*,*,*,
228,J0623+0340,95.944829,3.668556,0.613760,54.00,18.780,*,0.27,
229,J0624-0424,96.083451,-4.414015,1.039076,70.83,52.000,4.90,2.00,
230,J0625+10,96.437500,10.266667,0.498397,78.00,*,*,0.09,
231,J0627+0649,96.973452,6.831703,0.346523,86.60,6.330,*,1.89,
232,J0627+0706,96.934062,7.109250,0.475877,138.15,3.730,6.00,2.89,
233,J0627+16,96.804167,16.200000,2.180000,113.00,0.300,*,*,
234,J0628+0909,97.150762,9.153861,1.241421,88.30,8.000,*,0.06,
235,J0629+2415,97.273867,24.262028,0.476623,84.18,8.800,31.00,3.20,
236,J0630-0046,97.612317,-0.768292,0.680575,97.30,5.710,*,0.41,
237,J0630+19,97.516667,19.616667,1.248550,48.10,35.000,*,*,
238,J0630-2834,97.705852,-28.578550,1.244419,34.42,58.200,206.00,23.00,
239,J0631+0646,97.968250,6.770611,0.110979,*,*,*,*,
240,J0631+1036,97.864683,10.617361,0.287800,125.36,*,1.50,0.94,
241,J0633+0632,98.434208,6.543028,0.297395,*,*,*,*,
242,J0633+1746,98.475637,17.770252,0.237099,2.89,*,*,*,
243,J0633-2015,98.286917,-20.251972,3.253211,90.70,60.000,*,0.20,
244,J0635+0533,98.825000,5.553056,0.033856,*,*,*,*,
245,J0636-4549,99.140600,-45.825728,1.984597,26.31,18.000,*,0.10,
246,J0636+5129,99.020194,51.483323,0.002869,11.11,0.150,1.80,*,
247,J0645+5158,101.496175,51.970811,0.008853,18.25,0.086,2.40,0.29,
248,J0645+80,101.500000,80.150000,0.657873,50.00,*,5.50,*,
249,J0646+0905,101.629146,9.097028,0.903913,149.00,20.270,*,3.60,
250,J0647+0913,101.815333,9.233194,1.234854,154.70,11.620,*,0.18,
